id,name,quantity,type_id,waiting_period_id
4033,F210C22,0,10,1
4034,F210C25,0,10,1
4035,F310C28,0,10,1
4036,F310C32,0,10,1
4037,F310C36,0,10,1
4038,F310C40,0,10,1
4039,F310C45,0,10,1
4040,F310C50,0,10,1
4041,F310C56,0,10,1
4042,F310C63,0,10,1
4043,F310C71,0,10,1
4044,F310C80,0,10,1
4045,F310C90,0,10,1
4046,F310D10,0,10,1
4047,F310D11,0,10,1
4048,F310D13,0,10,1
4049,F310D14,0,10,1
4050,F310D16,0,10,1
4051,F310D18,0,10,1
4052,F310D20,0,10,1
4053,F310D22,0,10,1
4054,F212B50,0,10,1
4055,F212B56,0,10,1
4056,F212B63,0,10,1
4057,F212B71,0,10,1
4058,F212B80,0,10,1
4059,F212B90,0,10,1
4060,F212C10,0,10,1
4061,F212C11,0,10,1
4062,F212C13,0,10,1
4063,F212C14,0,10,1
4064,F212C16,0,10,1
4065,F212C18,0,10,1
4066,F212C20,0,10,1
4067,F212C22,0,10,1
4068,F312C25,0,10,1
4069,F312C28,0,10,1
4070,F312C32,0,10,1
4071,F312C36,0,10,1
4072,F312C40,0,10,1
4073,F312C45,0,10,1
4074,F312C50,0,10,1
4075,F312C56,0,10,1
4076,F312C63,0,10,1
4077,F312C71,0,10,1
4078,F312C80,0,10,1
4079,F312C90,0,10,1
4080,F312D10,0,10,1
4081,F312D11,0,10,1
4082,F312D13,0,10,1
4083,F312D14,0,10,1
4084,F312D16,0,10,1
4085,F312D18,0,10,1
4086,F312D20,0,10,1
4087,F312D22,0,10,1
4088,F215B63,0,10,1
4089,F215B71,0,10,1
4090,F215B80,0,10,1
4091,F215B90,0,10,1
4092,F215C10,0,10,1
4093,F215C11,0,10,1
4094,F215C13,0,10,1
4095,F215C14,0,10,1
4096,F215C16,0,10,1
4097,F215C18,0,10,1
4098,F215C20,0,10,1
4099,F215C22,0,10,1
4100,F315C25,0,10,1
4101,F315C28,0,10,1
4102,F315C32,0,10,1
4103,F315C36,0,10,1
4104,F315C40,0,10,1
4105,F315C45,0,10,1
4106,F315C50,0,10,1
4107,F315C56,0,10,1
4108,F315C63,0,10,1
4109,F315C71,0,10,1
4110,F315C80,0,10,1
4111,F315C90,0,10,1
4112,F315D10,0,10,1
4113,F315D11,0,10,1
4114,F315D13,0,10,1
4115,F315D14,0,10,1
4116,F315D16,0,10,1
4117,F315D18,0,10,1
4118,K303C201D11,0,10,1
4119,K303C201D13,0,10,1
4120,K303C201D14,0,10,1
4121,K303C201D16,0,10,1
4122,K303C201D25,0,10,1
4123,K303C201D28,0,10,1
4124,K303C201D32,0,10,1
4125,K303C201D36,0,10,1
4126,K303C201D40,0,10,1
4127,K303C201D45,0,10,1
4128,K303C301D18,0,10,1
4129,K303C301D20,0,10,1
4130,K303C301D22,0,10,1
4131,K303C301D50,0,10,1
4132,K303C301D56,0,10,1
4133,K303C301D63,0,10,1
4134,K303C301D71,0,10,1
4135,K303C301D80,0,10,1
4136,K303C301D90,0,10,1
4137,K303C301E10,0,10,1
4138,K303C301E11,0,10,1
4139,K303C301E13,0,10,1
4140,K303C301E14,0,10,1
4141,K303C301E16,0,10,1
4142,K303C301E18,0,10,1
4143,K303C301E20,0,10,1
4144,K303C301E22,0,10,1
4145,K303C301E25,0,10,1
4146,K303C301E28,0,10,1
4147,K303C301E32,0,10,1
4148,K303C301E36,0,10,1
4149,K303C301E40,0,10,1
4150,K303C301E45,0,10,1
4151,K303C301E50,0,10,1
4152,K303C301E56,0,10,1
4153,K304C203D11,0,10,1
4154,K304C203D13,0,10,1
4155,K304C203D14,0,10,1
4156,K304C203D16,0,10,1
4157,K304C203D18,0,10,1
4158,K304C203D25,0,10,1
4159,K304C203D28,0,10,1
4160,K304C203D32,0,10,1
4161,K304C203D36,0,10,1
4162,K304C203D40,0,10,1
4163,K304C203D45,0,10,1
4164,K304C203D50,0,10,1
4165,K304C303D20,0,10,1
4166,K304C303D22,0,10,1
4167,K304C303D56,0,10,1
4168,K304C303D63,0,10,1
4169,K304C303D71,0,10,1
4170,K304C303D80,0,10,1
4171,K304C303D90,0,10,1
4172,K304C303E10,0,10,1
4173,K304C303E11,0,10,1
4174,K304C303E13,0,10,1
4175,K304C303E14,0,10,1
4176,K304C303E16,0,10,1
4177,K304C303E18,0,10,1
4178,K304C303E20,0,10,1
4179,K304C303E22,0,10,1
4180,K304C303E25,0,10,1
4181,K304C303E28,0,10,1
4182,K304C303E32,0,10,1
4183,K304C303E36,0,10,1
4184,K304C303E40,0,10,1
4185,K304C303E45,0,10,1
4186,K304C303E50,0,10,1
4187,K304C303E56,0,10,1
4188,K304C303E63,0,10,1
4189,K305C203D11,0,10,1
4190,K305C203D13,0,10,1
4191,K305C203D14,0,10,1
4192,K305C203D16,0,10,1
4193,K305C203D18,0,10,1
4194,K305C203D25,0,10,1
4195,K305C203D28,0,10,1
